Player,Team,Pos,Injury,Status,INJURY_FLAG,INJURY_CATEGORY,IS_OUT,IS_LIMITED
Bam Adebayo,MIA,C,Toe,Out,1.0,Out,1,0
Ochai Agbaji,TOR,F,Back,Out,1.0,Out,1,0
Nickeil Alexander-Walker,ATL,G,Back,Questionable,0.5,Limited,0,1
Kyle Anderson,UTA,F,Back,Out,1.0,Out,1,0
Giannis Antetokounmpo,MIL,F,Knee,Questionable,0.5,Limited,0,1
LaMelo Ball,CHA,G,Ankle,Out,1.0,Out,1,0
Dominick Barlow,PHI,C,Elbow,Out,1.0,Out,1,0
Bradley Beal,LAC,G,Hip,Doubtful,1.0,Out,1,0
Johni Broome,PHI,C,Ankle,Out,1.0,Out,1,0
Devin Carter,SAC,G,Illness,Out,1.0,Out,1,0
Brandon Clarke,MEM,C,Knee,Out,1.0,Out,1,0
Zach Collins,CHI,C,Wrist,Out,1.0,Out,1,0
Pat Connaughton,CHA,F,Illness,Probable,0.5,Limited,0,1
Bilal Coulibaly,WAS,F,Calf,Out,1.0,Out,1,0
Cade Cunningham,DET,G,Hip,Probable,0.5,Limited,0,1
Anthony Davis,DAL,C,Calf,Questionable,0.5,Limited,0,1
Luguentz Dort,OKC,F,Shoulder,Out,1.0,Out,1,0
Jalen Duren,DET,C,Ankle,Probable,0.5,Limited,0,1
Nikola Durisic,ATL,F,Elbow,Questionable,0.5,Limited,0,1
Zach Edey,MEM,C,Ankle,Out,1.0,Out,1,0
Joel Embiid,PHI,C,Knee,Out,1.0,Out,1,0
Dante Exum,DAL,G,Knee,Out,1.0,Out,1,0
Dorian Finney-Smith,HOU,F,Ankle,Out,1.0,Out,1,0
Cooper Flagg,DAL,F,Thumb,Probable,0.5,Limited,0,1
Johnny Furphy,IND,F,Ankle,Out,1.0,Out,1,0
Darius Garland,CLE,G,Toe,Out,1.0,Out,1,0
Paul George,PHI,F,Knee,Out,1.0,Out,1,0
Josh Giddey,CHI,G,Ankle,Questionable,0.5,Limited,0,1
Aaron Gordon,DEN,F,Hamstring,Probable,0.5,Limited,0,1
Josh Green,CHA,F,Shoulder,Out,1.0,Out,1,0
Jalen Green,PHX,G,Hamstring,Out,1.0,Out,1,0
Tyrese Haliburton,IND,G,Achilles,Out For Season,0.0,Active,0,0
Dylan Harper,SAS,G,Calf,Out,1.0,Out,1,0
Tobias Harris,DET,F,Ankle,Out,1.0,Out,1,0
Scoot Henderson,POR,G,Hamstring,Doubtful,1.0,Out,1,0
Taylor Hendricks,UTA,F,Hamstring,Out,1.0,Out,1,0
Tyler Herro,MIA,G,Ankle,Out,1.0,Out,1,0
Haywood Highsmith,BKN,F,Knee,Out,1.0,Out,1,0
Al Horford,GSW,C,Toe,Out,1.0,Out,1,0
Kyrie Irving,DAL,G,Knee,Out,1.0,Out,1,0
Jaden Ivey,DET,G,Knee,Out,1.0,Out,1,0
Quenton Jackson,IND,G,Hamstring,Out,1.0,Out,1,0
LeBron James,LAL,F,Back,Out,1.0,Out,1,0
Ty Jerome,MEM,G,Calf,Out,1.0,Out,1,0
Kam Jones,IND,G,Back,Out,1.0,Out,1,0
Walker Kessler,UTA,C,Shoulder,Out For Season,0.0,Active,0,0
Kawhi Leonard,LAC,F,Ankle,Out,1.0,Out,1,0
Damian Lillard,POR,G,Achilles,Out For Season,0.0,Active,0,0
Dereck Lively,DAL,C,Knee,Questionable,0.5,Limited,0,1
Kevin Love,UTA,C,Rest,Out,1.0,Out,1,0
Sandro Mamukelashvili,TOR,C,Neck,Questionable,0.5,Limited,0,1
Bennedict Mathurin,IND,F,Toe,Out,1.0,Out,1,0
T.J. McConnell,IND,G,Hamstring,Questionable,0.5,Limited,0,1
Kevin McCullar,NYK,F,Back,Questionable,0.5,Limited,0,1
De'Anthony Melton,GSW,G,Knee,Out,1.0,Out,1,0
Brandon Miller,CHA,F,Shoulder,Out,1.0,Out,1,0
Donovan Mitchell,CLE,G,Rest,Out,1.0,Out,1,0
Evan Mobley,CLE,F,Rest,Out,1.0,Out,1,0
Jamal Murray,DEN,G,Calf,Probable,0.5,Limited,0,1
Dejounte Murray,NOP,G,Achilles,Out,1.0,Out,1,0
Keegan Murray,SAC,F,Thumb,Out,1.0,Out,1,0
Larry Nance,CLE,C,Knee,Questionable,0.5,Limited,0,1
Georges Niang,UTA,F,Foot,Out,1.0,Out,1,0
Taelon Peter,IND,G,Groin,Questionable,0.5,Limited,0,1
Drew Peterson,CHA,F,Calf,Questionable,0.5,Limited,0,1
Scotty Pippen,MEM,G,Toe,Out,1.0,Out,1,0
Jordan Poole,NOP,G,Quadriceps,Out,1.0,Out,1,0
Kevin Porter,MIL,G,Knee,Out,1.0,Out,1,0
Taurean Prince,MIL,F,Neck,Out,1.0,Out,1,0
Mitchell Robinson,NYK,C,Ankle,Questionable,0.5,Limited,0,1
Terry Rozier,MIA,G,Not Injury Related,Out,1.0,Out,1,0
Marcus Sasser,DET,G,Hip,Out,1.0,Out,1,0
Collin Sexton,CHA,G,Ankle,Probable,0.5,Limited,0,1
Terrence Shannon,MIN,F,Foot,Questionable,0.5,Limited,0,1
Day'Ron Sharpe,BKN,C,Lower Body,Out,1.0,Out,1,0
KJ Simpson,CHA,G,Shoulder,Probable,0.5,Limited,0,1
Javon Small,MEM,G,Toe,Out,1.0,Out,1,0
Thomas Sorber,OKC,C,Knee,Out For Season,0.0,Active,0,0
Isaiah Stewart,DET,F,Ankle,Doubtful,1.0,Out,1,0
Max Strus,CLE,F,Foot,Out,1.0,Out,1,0
Jayson Tatum,BOS,F,Achilles,Out,1.0,Out,1,0
Adou Thiero,LAL,F,Knee,Out,1.0,Out,1,0
Cam Thomas,BKN,G,Hamstring,Out,1.0,Out,1,0
Ausar Thompson,DET,F,Ankle,Out,1.0,Out,1,0
Matisse Thybulle,POR,F,Thumb,Out,1.0,Out,1,0
Alex Toohey,GSW,F,Knee,Questionable,0.5,Limited,0,1
Nikola Topic,OKC,G,Groin,Out,1.0,Out,1,0
Obi Toppin,IND,F,Foot,Out,1.0,Out,1,0
Jaylon Tyson,CLE,F,Concussion,Out,1.0,Out,1,0
Fred VanVleet,HOU,G,Knee,Out,1.0,Out,1,0
Gabe Vincent,LAL,G,Ankle,Out,1.0,Out,1,0
Moritz Wagner,ORL,C,Knee,Out,1.0,Out,1,0
Blake Wesley,POR,G,Foot,Out,1.0,Out,1,0
Coby White,CHI,G,Calf,Out,1.0,Out,1,0
Aaron Wiggins,OKC,F,Thigh,Out,1.0,Out,1,0
Jalen Williams,OKC,F,Wrist,Out,1.0,Out,1,0
Kenrich Williams,OKC,F,Knee,Out,1.0,Out,1,0
Grant Williams,CHA,F,Knee,Out,1.0,Out,1,0
Zion Williamson,NOP,F,Hamstring,Out,1.0,Out,1,0
Trae Young,ATL,G,Knee,Out,1.0,Out,1,0
